2014-11-03 14:05:51 status unpacked libgdk-pixbuf2.0-0:amd64 2.26.1-1
2014-11-03 14:05:51 install libgomp1:amd64 <none> 4.7.2-5
2014-11-03 14:05:51 status half-installed libgomp1:amd64 4.7.2-5
2014-11-03 14:05:51 status unpacked libgomp1:amd64 4.7.2-5
2014-11-03 14:05:51 status unpacked libgomp1:amd64 4.7.2-5
2014-11-03 14:05:51 install x11-common:all <none> 1:7.7+3~deb7u1
2014-11-03 14:05:51 status half-installed x11-common:all 1:7.7+3~deb7u1
2014-11-03 14:05:51 status half-installed x11-common:all 1:7.7+3~deb7u1
2014-11-03 14:05:51 status unpacked x11-common:all 1:7.7+3~deb7u1
2014-11-03 14:05:51 status unpacked x11-common:all 1:7.7+3~deb7u1
2014-11-03 14:05:51 install libice6:amd64 <none> 2:1.0.8-2
2014-11-03 14:05:51 status half-installed libice6:amd64 2:1.0.8-2
2014-11-03 14:05:51 status unpacked libice6:amd64 2:1.0.8-2
2014-11-03 14:05:51 status unpacked libice6:amd64 2:1.0.8-2
2014-11-03 14:05:51 install liblcms1:amd64 <none> 1.19.dfsg-1.2
2014-11-03 14:05:51 status half-installed liblcms1:amd64 1.19.dfsg-1.2
2014-11-03 14:05:52 status unpacked liblcms1:amd64 1.19.dfsg-1.2
2014-11-03 14:05:52 status unpacked liblcms1:amd64 1.19.dfsg-1.2
2014-11-03 14:05:52 install liblcms2-2:amd64 <none> 2.2+git20110628-2.2+deb7u1
2014-11-03 14:05:52 status half-installed liblcms2-2:amd64 2.2+git20110628-2.2+deb7u1
2014-11-03 14:05:52 status unpacked liblcms2-2:amd64 2.2+git20110628-2.2+deb7u1
2014-11-03 14:05:52 status unpacked liblcms2-2:amd64 2.2+git20110628-2.2+deb7u1
2014-11-03 14:05:52 install liblqr-1-0:amd64 <none> 0.4.1-2
2014-11-03 14:05:52 status half-installed liblqr-1-0:amd64 0.4.1-2
2014-11-03 14:05:52 status unpacked liblqr-1-0:amd64 0.4.1-2
2014-11-03 14:05:52 status unpacked liblqr-1-0:amd64 0.4.1-2
2014-11-03 14:05:52 install liblua5.1-0:amd64 <none> 5.1.5-4+deb7u1
2014-11-03 14:05:52 status half-installed liblua5.1-0:amd64 5.1.5-4+deb7u1
2014-11-03 14:05:52 status unpacked liblua5.1-0:amd64 5.1.5-4+deb7u1
2014-11-03 14:05:52 status unpacked liblua5.1-0:amd64 5.1.5-4+deb7u1
2014-11-03 14:05:52 install libsm6:amd64 <none> 2:1.2.1-2
2014-11-03 14:05:52 status half-installed libsm6:amd64 2:1.2.1-2
2014-11-03 14:05:52 status unpacked libsm6:amd64 2:1.2.1-2
2014-11-03 14:05:52 status unpacked libsm6:amd64 2:1.2.1-2
2014-11-03 14:05:52 install libxt6:amd64 <none> 1:1.1.3-1+deb7u1
2014-11-03 14:05:52 status half-installed libxt6:amd64 1:1.1.3-1+deb7u1
2014-11-03 14:05:52 status unpacked libxt6:amd64 1:1.1.3-1+deb7u1
2014-11-03 14:05:52 status unpacked libxt6:amd64 1:1.1.3-1+deb7u1
2014-11-03 14:05:52 install libmagickcore5:amd64 <none> 8:6.7.7.10-5+deb7u3
2014-11-03 14:05:52 status half-installed libmagickcore5:amd64 8:6.7.7.10-5+deb7u3
2014-11-03 14:05:52 status unpacked libmagickcore5:amd64 8:6.7.7.10-5+deb7u3
2014-11-03 14:05:52 status unpacked libmagickcore5:amd64 8:6.7.7.10-5+deb7u3
2014-11-03 14:05:53 install libilmbase6:amd64 <none> 1.0.1-4
2014-11-03 14:05:53 status half-installed libilmbase6:amd64 1.0.1-4
2014-11-03 14:05:53 status unpacked libilmbase6:amd64 1.0.1-4
2014-11-03 14:05:53 status unpacked libilmbase6:amd64 1.0.1-4
2014-11-03 14:05:53 install libmagickwand5:amd64 <none> 8:6.7.7.10-5+deb7u3
2014-11-03 14:05:53 status half-installed libmagickwand5:amd64 8:6.7.7.10-5+deb7u3
2014-11-03 14:05:53 status unpacked libmagickwand5:amd64 8:6.7.7.10-5+deb7u3
2014-11-03 14:05:53 status unpacked libmagickwand5:amd64 8:6.7.7.10-5+deb7u3
2014-11-03 14:05:53 install libopenexr6:amd64 <none> 1.6.1-6
2014-11-03 14:05:53 status half-installed libopenexr6:amd64 1.6.1-6
2014-11-03 14:05:53 status unpacked libopenexr6:amd64 1.6.1-6
2014-11-03 14:05:53 status unpacked libopenexr6:amd64 1.6.1-6
2014-11-03 14:05:53 install libthai-data:all <none> 0.1.18-2
2014-11-03 14:05:53 status half-installed libthai-data:all 0.1.18-2
2014-11-03 14:05:53 status unpacked libthai-data:all 0.1.18-2
2014-11-03 14:05:53 status unpacked libthai-data:all 0.1.18-2
2014-11-03 14:05:53 install libthai0:amd64 <none> 0.1.18-2
2014-11-03 14:05:53 status half-installed libthai0:amd64 0.1.18-2
2014-11-03 14:05:53 status unpacked libthai0:amd64 0.1.18-2
2014-11-03 14:05:53 status unpacked libthai0:amd64 0.1.18-2
2014-11-03 14:05:53 install libxft2:amd64 <none> 2.3.1-1
2014-11-03 14:05:53 status half-installed libxft2:amd64 2.3.1-1
